Jefferson B. Sessions,R - AL,http://twitter.com/SenatorSessions,Sen.Sessions@opencongress.org,202-224-4124,http://www.sessions.senate.gov/public
Richard C. Shelby,R - AL,http://twitter.com/SenShelby,Sen.Shelby@opencongress.org,202-224-5744,http://www.shelby.senate.gov
Robert B. Aderholt,R - AL,http://twitter.com/Robert_Aderholt,Rep.Aderholt@opencongress.org,202-225-4876,https://aderholt.house.gov
Mo Brooks,R - AL,http://twitter.com/RepMoBrooks,Rep.Brooks@opencongress.org,202-225-4801,https://brooks.house.gov
Bradley Byrne,R - AL,http://twitter.com/RepByrne,Rep.Byrne@opencongress.org,202-225-4931,https://byrne.house.gov
Gary Palmer,R - AL,http://twitter.com/USRepGaryPalmer,Rep.Palmer@opencongress.org,202-225-4921,https://palmer.house.gov
Martha Roby,R - AL,http://twitter.com/RepMarthaRoby,Rep.Roby@opencongress.org,202-225-2901,http://roby.house.gov
Mike Rogers,R - AL,http://twitter.com/RepMikeRogersAL,Rep.Mikerogers@opencongress.org,202-225-3261,https://mikerogers.house.gov
Terri A. Sewell,D - AL,http://twitter.com/RepTerriSewell,Rep.Sewell@opencongress.org,202-225-2665,https://sewell.house.gov
Lisa A. Murkowski,R - AK,http://twitter.com/LisaMurkowski,Sen.Murkowski@opencongress.org,202-224-6665,https://www.murkowski.senate.gov
Dan Sullivan,R - AK,http://twitter.com/SenDanSullivan,Sen.Sullivan@opencongress.org,202-224-3004,http://www.sullivan.senate.gov
Don E. Young,R - AK,http://twitter.com/RepDonYoung,Rep.Donyoung@opencongress.org,202-225-5765,http://donyoung.house.gov
Jeff Flake,R - AZ,http://twitter.com/JeffFlake,Sen.Flake@opencongress.org,202-224-4521,http://www.flake.senate.gov/public
John S. McCain,R - AZ,http://twitter.com/SenJohnMcCain,Sen.Mccain@opencongress.org,202-224-2235,http://www.mccain.senate.gov
Trent Franks,R - AZ,http://twitter.com/RepTrentFranks,Rep.Franks@opencongress.org,202-225-4576,https://franks.house.gov
Ruben Gallego,D - AZ,http://twitter.com/RepRubenGallego,Rep.Rubengallego@opencongress.org,202-225-4065,https://rubengallego.house.gov
Paul A. Gosar,R - AZ,http://twitter.com/RepGosar,Rep.Gosar@opencongress.org,202-225-2315,http://gosar.house.gov
Raúl M. Grijalva,D - AZ,http://twitter.com/RepraulGrijalva,Rep.Grijalva@opencongress.org,202-225-2435,https://grijalva.house.gov
Ann Kirkpatrick,D - AZ,http://twitter.com/RepKirkpatrick,Rep.Kirkpatrick@opencongress.org,202-225-3361,http://kirkpatrick.house.gov
Martha McSally,R - AZ,http://twitter.com/RepMcSally,Rep.Mcsally@opencongress.org,202-225-2542,https://mcsally.house.gov
